name,link,category,novelty,maturity,weirdness,notes
DSPy,https://github.com/stanfordnlp/dspy,DSL/Programming,9,8,6,"Framework for programming (not prompting) language models. 27k+ stars, active dev"
LMQL,https://github.com/eth-sri/lmql,DSL/Constraint,9,7,7,"Language for constraint-guided LLM programming. 4k+ stars, from ETH-SRI"
llm-structured-output-benchmarks,https://github.com/stephenleo/llm-structured-output-benchmarks,Benchmarking,7,6,4,"Benchmarks for Instructor, Mirascope, LangChain, Outlines etc. Recent (2024)"
dspy-rag-fastapi,https://github.com/diicellman/dspy-rag-fastapi,DSL/Integration,6,5,3,"FastAPI wrapper around DSPy. 262 stars"
xmc.dspy,https://github.com/KarelDO/xmc.dspy,DSL/Specialized,8,6,5,"In-Context Learning for eXtreme Multi-Label Classification. 435 stars"
DSPyUI,https://github.com/hammer-mt/DSPyUI,DSL/Interface,7,5,4,"User interface for DSPy. 173 stars"
dspygen,https://github.com/seanchatmangpt/dspygen,DSL/Framework,7,5,5,"Ruby on Rails style framework for DSPy. 128 stars"
dspy-redteam,https://github.com/haizelabs/dspy-redteam,DSL/Security,8,6,6,"Red-Teaming Language Models with DSPy. 212 stars"
cognitive-dissonance-dspy,https://github.com/evalops/cognitive-dissonance-dspy,DSL/Psychology,9,5,8,"Multi-agent LLM system for detecting cognitive dissonance. Very recent (Aug 2024), 225 stars"
dspy_nodes,https://github.com/tom-doerr/dspy_nodes,DSL/Visual,8,5,7,"ComfyUI nodes for DSPy pipelines. 194 stars, visual programming approach"
dspy-neo4j-knowledge-graph,https://github.com/chrisammon3000/dspy-neo4j-knowledge-graph,DSL/Knowledge,8,6,6,"LLM-driven automated knowledge graph construction. 186 stars"
arbor,https://github.com/Ziems/arbor,DSL/Optimization,9,6,7,"Framework for optimizing DSPy programs with RL. 151 stars, novel RL approach"
cognify,https://github.com/GenseeAI/cognify,Multi-Framework,8,6,6,"Multi-Faceted AI Agent autotuning for LangChain, LangGraph, DSPy. 251 stars"
generative-bi-using-rag,https://github.com/aws-samples/generative-bi-using-rag,Application/BI,6,7,4,"AWS solution for Generative BI using RAG. 165 stars"
genaiops-promptflow-template,https://github.com/microsoft/genaiops-promptflow-template,Observability/Ops,7,8,5,"Microsoft GenAIOps template with lifecycle management. 341 stars"
NL2SQL_Handbook,https://github.com/HKUSTDial/NL2SQL_Handbook,Knowledge/Reference,8,8,4,"Comprehensive Text-to-SQL handbook and survey. 925 stars, TKDE'25"
clerkie-cli,https://github.com/BerriAI/clerkie-cli,Interface/CLI,6,5,4,"Terminal tool using LLM for debugging. 95 stars"
ComfyUI-InstructorOllama,https://github.com/ThisModernDay/ComfyUI-InstructorOllama,Integration/Visual,7,5,5,"ComfyUI nodes for Instructor+Ollama. 8 stars, very niche"
text-to-json-converter,https://github.com/amogh-convosight/text-to-json-converter,Structured/JSON,6,4,4,"Unified text to JSON converter with Instructor. Very recent"
Autogen_GraphRAG_Ollama,https://github.com/karthik-codex/Autogen_GraphRAG_Ollama,Multi-Framework,8,7,6,"GraphRAG + AutoGen + Ollama + Chainlit. 738 stars, multi-component"
openai-autogen-dev-studio,https://github.com/ivangabriele/openai-autogen-dev-studio,Multi-Framework,6,6,5,"OpenAI agents + AutoGen game development. 157 stars, archived"
AutoGen_EnhancedAgents,https://github.com/Andyinater/AutoGen_EnhancedAgents,Multi-Framework,8,6,6,"Enhanced AutoGen with memory, context control. 117 stars"
